id,modelId,modelFullName,name,leather,gearbox,engine,fuel,fuelTankSize,fuelMixt,fuelUrban,batteryVoltage,batteryAutonomy,horsePower,horsePowerFiscal
44,30,RENAULT Zoé,R90 EDITION ONE,1,Automatic,Electric,,,,,40,300,92,1
45,30,RENAULT Zoé,R90 INTENS,0,Automatic,Electric,,,,,40,300,92,1
46,31,SKODA SUPERB,1.6 TDI 120ch DSG7 - Cuir,1,Automatic,Combustion,Diesel,66,4.2,4.7,,,120,6
47,31,SKODA SUPERB,1.6 TDI 120ch DSG7 - Tissu,0,Automatic,Combustion,Diesel,66,4.2,4.7,,,120,6
48,31,SKODA SUPERB,III 2.0 TDI 150 Greentec Business DSG7 - Cuir,1,Automatic,Combustion,Diesel,66,4.5,5.4,,,150,8
49,32,SKODA OCTAVIA,III 1.6 TDI 116ch CR FAP Business DSG7,1,Automatic,Combustion,Diesel,50,3.9,4.2,,,116,5
50,33,TOYOTA Auris TS Hybride,HSD 136h Freestyle,1,Automatic,Hybrid,Petrol,45,4,3.9,,,98,5
51,34,TOYOTA Prius, DYNAMIC HYBRID,1,Automatic,Hybrid,Petrol,43,3.6,3.5,,,122,4
52,35,VOLKSWAGEN Passat,VIII 2.0 TDI 150ch BMT Carat DSG6 - Cuir,1,Automatic,Combustion,Diesel,66,4.4,5.2,,,150,8
53,35,VOLKSWAGEN Passat,VIII 2.0 TDI 150ch BMT Carat DSG6 - Cuir,1,Automatic,Combustion,Diesel,70,4.6,5.4,,,105,6
54,35,VOLKSWAGEN Passat,VIII 2.0 TDI 150ch BMT Carat DSG6 - Tissu,0,Automatic,Combustion,Diesel,70,4.6,5.4,,,105,6
55,35,VOLKSWAGEN Passat,VIII 1.6 TDI 120 BMT,0,Manual,Combustion,Diesel,59,3.7,4.3,,,120,6
56,36,VOLKSWAGEN Golf SW Business,VII 1.6 TDI 110ch BMT FAP Confortline Business DSG7,0,Automatic,Combustion,Diesel,50,4,4.5,,,110,5
57,37,VOLKSWAGEN TIGUAN,2.0 TDI 115 Edition,0,Manual,Combustion,Diesel,58,4.7,5.7,,,115,6
58,38,VOLVO S60 II,II D2 115ch Start&Stop Kinetic Business Powershift,0,Automatic,Combustion,Diesel,67,4.3,4.9,,,115,6
59,39,TESLA Model S,P90 D,1,Automatic,Electric,,,,,100,613,539,10
60,40,ALFA ROMEO STELVIO,2.2D 150CH AT8,1,Automatic,Combustion,Diesel,58,4.7,5.5,,,150,8
